Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged,Month,Year
2015,Flat/Unit,Total,548.75,620,710,220,1589,3.3300000000000005,3.3300000000000005,7.84,34.97,12,2017
2015,Flat/Unit,Bedsitter,,,,,,,,,,12,2017
2015,Flat/Unit,1 Bedroom,500,550,600,107,683,0,1.8499999999999999,4.9,42.67,12,2017
2015,Flat/Unit,Not Specified,,,,,96,,,,,12,2017
2015,Flat/Unit,2 Bedrooms,650,700,770,99,689,1.4500000000000002,7.6899999999999995,22.220000000000002,70.69,12,2017
2015,Flat/Unit,3 Bedrooms,,,,,97,,,,,12,2017
2015,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2016,Total,Total,360,465,717.5,450,2987,-0.8500000000000001,-16.220000000000002,0.67,42.86,12,2017
2016,Total,Bedsitter,350,360,400,,104,0.7000000000000001,0,-18.75,160.0,12,2017
2016,Total,1 Bedroom,360,395,485,295,1143,-7.93,-7.93,-2.64,72.50999999999999,12,2017
2016,Total,Not Specified,,,,,302,,,,,12,2017
2016,Total,2 Bedrooms,690,750,850,77,921,1.01,7.140000000000001,4.05,6.94,12,2017
2016,Total,3 Bedrooms,850,950,1050,45,390,1.6,5.56,40.63,55.169999999999995,12,2017
2016,Total,4 or more Bedrooms,,,,,127,,,,,12,2017
2016,House,Total,685,850,1050,37,183,0,19.72,23.330000000000002,311.11,12,2017
2016,House,Bedsitter,,,,,,,,,,12,2017
2016,House,1 Bedroom,,,,,,,,,,12,2017
2016,House,Not Specified,,,,,,,,,,12,2017
2016,House,2 Bedrooms,673.75,760,850,,62,1.3299999999999998,7.8,40.0,250.0,12,2017
2016,House,3 Bedrooms,777.5,1025,1196.25,,67,13.889999999999999,22.02,60.0,433.33000000000004,12,2017
2016,House,4 or more Bedrooms,,,,,31,,,,,12,2017
2016,Other,Total,360,360,442,151,750,-4.0,-13.669999999999998,-29.770000000000003,13.530000000000001,12,2017
2016,Other,Bedsitter,,,,,,,,,,12,2017
2016,Other,1 Bedroom,360,360,426,140,389,0,2.86,-28.93,38.61,12,2017
2016,Other,Not Specified,,,,,184,,,,,12,2017
2016,Other,2 Bedrooms,,,,,93,,,,,12,2017
2016,Other,3 Bedrooms,,,,,43,,,,,12,2017
2016,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2016,Townhouse,Total,750,900,995,,300,13.56,5.88,13.639999999999999,8.7,12,2017
2016,Townhouse,Bedsitter,,,,,,,,,,12,2017
2016,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2016,Townhouse,Not Specified,,,,,,,,,,12,2017
2016,Townhouse,2 Bedrooms,677.5,700,860,,114,-7.89,1.4500000000000002,22.220000000000002,57.14,12,2017
2016,Townhouse,3 Bedrooms,,,,,99,,,,,12,2017
2016,Townhouse,4 or more Bedrooms,,,,,58,,,,,12,2017
2016,Flat/Unit,Total,395,524,710,237,1754,-12.67,-14.45,31.669999999999998,57.99999999999999,12,2017
2016,Flat/Unit,Bedsitter,350,360,450,,82,2.86,-1.37,-15.379999999999999,175.0,12,2017
2016,Flat/Unit,1 Bedroom,395,429,560,151,720,-22.0,-22.0,51.0,132.31,12,2017
2016,Flat/Unit,Not Specified,,,,,103,,,,,12,2017
2016,Flat/Unit,2 Bedrooms,700,750,800,51,652,2.74,7.140000000000001,0,-7.2700000000000005,12,2017
2016,Flat/Unit,3 Bedrooms,830,900,950,,181,-5.76,5.88,58.330000000000005,26.669999999999998,12,2017
2016,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2017,Total,Total,590,700,780,683,5867,-2.78,0,-21.490000000000002,11.24,12,2017
2017,Total,Bedsitter,,,,,,,,,,12,2017
2017,Total,1 Bedroom,550,580,620,286,2013,0,3.5700000000000003,-18.98,23.28,12,2017
2017,Total,Not Specified,565,650,785,,441,-5.11,1.5599999999999998,-24.0,-66.07,12,2017
2017,Total,2 Bedrooms,730,760,800,319,2943,-1.3,2.7,-23.87,16.42,12,2017
2017,Total,3 Bedrooms,950,1000,1090,49,404,-5.66,1.01,-19.67,4.26,12,2017
2017,Total,4 or more Bedrooms,,,,,36,,,,,12,2017
2017,House,Total,657.5,787.5,900,,109,9.379999999999999,-12.5,11.110000000000001,100,12,2017
2017,House,Bedsitter,,,,,,,,,,12,2017
2017,House,1 Bedroom,,,,,,,,,,12,2017
2017,House,Not Specified,,,,,,,,,,12,2017
2017,House,2 Bedrooms,,,,,50,,,,,12,2017
2017,House,3 Bedrooms,,,,,,,,,,12,2017
2017,House,4 or more Bedrooms,,,,,,,,,,12,2017
2017,Other,Total,585,730,770,,423,2.1,22.689999999999998,-42.42,-50.0,12,2017
2017,Other,Bedsitter,,,,,,,,,,12,2017
2017,Other,1 Bedroom,,,,,85,,,,,12,2017
2017,Other,Not Specified,,,,,165,,,,,12,2017
2017,Other,2 Bedrooms,,,,,148,,,,,12,2017
2017,Other,3 Bedrooms,,,,,,,,,,12,2017
2017,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2017,Townhouse,Total,571.25,735,911.25,,1146,-8.12,2.08,7.6899999999999995,-84.53,12,2017
2017,Townhouse,1 Bedroom,,,,,316,,,,,12,2017
2017,Townhouse,Not Specified,,,,,,,,,,12,2017
2017,Townhouse,2 Bedrooms,700,740,765,,689,-7.5,0,22.220000000000002,-88.3,12,2017
2017,Townhouse,3 Bedrooms,,,,,104,,,,,12,2017
2017,Townhouse,4 or more Bedrooms,,,,,,,,,,12,2017
2017,Flat/Unit,Total,590,700,780,616,4189,-2.78,2.19,-22.32,60.0,12,2017
2017,Flat/Unit,Bedsitter,,,,,,,,,,12,2017
2017,Flat/Unit,1 Bedroom,550,580,620,270,1595,0,5.45,-18.43,75.32,12,2017
2017,Flat/Unit,Not Specified,,,,,253,,,,,12,2017
2017,Flat/Unit,2 Bedrooms,730,760,800,292,2056,-1.94,2.36,-25.319999999999997,73.81,12,2017
2017,Flat/Unit,3 Bedrooms,962.5,1015,1100,38,260,-6.02,-3.3300000000000005,-22.45,80.95,12,2017
2017,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2018,Total,Total,510,630,750,273,2454,-2.33,5.0,2.63,17.669999999999998,12,2017
2018,Total,Bedsitter,,,,,,,,,,12,2017
2018,Total,1 Bedroom,500,550,590,75,465,-3.51,5.7700000000000005,20.97,29.310000000000002,12,2017
2018,Total,Not Specified,,,,,261,,,,,12,2017
2018,Total,2 Bedrooms,500,690,750,144,1308,1.47,6.15,-1.37,18.029999999999998,12,2017
2018,Total,3 Bedrooms,750,930,1000,34,350,4.79,12.73,-5.56,21.43,12,2017
2018,Total,4 or more Bedrooms,,,,,60,,,,,12,2017
2018,House,Total,597.5,750,970,,258,-7.9799999999999995,0.67,-31.25,46.67,12,2017
2018,House,1 Bedroom,,,,,,,,,,12,2017
2018,House,Not Specified,,,,,,,,,,12,2017
2018,House,2 Bedrooms,,,,,55,,,,,12,2017
2018,House,3 Bedrooms,,,,,133,,,,,12,2017
2018,House,4 or more Bedrooms,,,,,45,,,,,12,2017
2018,Other,Total,452.5,497.5,652.5,,229,-28.93,-6.13,-12.5,-12.5,12,2017
2018,Other,Bedsitter,,,,,,,,,,12,2017
2018,Other,1 Bedroom,,,,,37,,,,,12,2017
2018,Other,Not Specified,,,,,75,,,,,12,2017
2018,Other,2 Bedrooms,,,,,77,,,,,12,2017
2018,Other,3 Bedrooms,,,,,,,,,,12,2017
2018,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2018,Townhouse,Total,,,,,85,,,,,12,2017
2018,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2018,Townhouse,Not Specified,,,,,,,,,,12,2017
2018,Townhouse,2 Bedrooms,,,,,38,,,,,12,2017
2018,Townhouse,3 Bedrooms,,,,,32,,,,,12,2017
2018,Townhouse,4 or more Bedrooms,,,,,,,,,,12,2017
2018,Flat/Unit,Total,520,620,750,231,1882,0,8.77,7.9399999999999995,35.88,12,2017
